timestamp;user;state;row;line_content;error
2025-11-10 08:51:28;admin;batch start;0;pattern=;
2025-11-10 08:51:28;admin;print started;0;rows=111 pattern=;
2025-11-10 09:01:46;admin;login;0;user logged in;
2025-11-10 09:01:46;admin;data stream loaded;0;CSV loaded: C:/Users/Logisztika/Documents/bigtest.log.csv;
2025-11-10 09:01:46;admin;screen;0;"[CSV] Loaded 111 rows (delimiter=';')";
2025-11-10 09:01:46;admin;data stream loaded;0;CSV loaded: C:/Users/Logisztika/Documents/bigtest.log.csv;
2025-11-10 09:01:46;admin;screen;0;[RESUME] Highlight row 14, next to send: row 14;
2025-11-10 09:01:51;admin;serial connect;0;"port=COM1; baud=9600; parity=N; stopbits=0";
2025-11-10 09:01:51;admin;serial connected;0;COM1@9600 parity=N stop=0;
2025-11-10 09:01:52;admin;batch start;0;pattern=;
2025-11-10 09:01:52;admin;print started;0;rows=111 pattern=;
2025-11-10 09:01:52;admin;screen;0;[START] Starting at row 14;
2025-11-10 09:01:52;admin;screen;0;[FRAME] <SOH>O<STX><ETX>079<CR>;
2025-11-10 09:01:55;admin;screen;0;[PUT ONLINE] None;
2025-11-10 09:01:55;admin;screen;0;[FRAME] <SOH>V<STX>015<ETX>236<CR>;
2025-11-10 09:01:58;admin;screen;0;V] var 01 <- 5 | None;
2025-11-10 09:01:58;admin;screen;0;[FRAME] <SOH>V<STX>02ID: 1Content aa<ETX>141<CR>;
2025-11-10 09:02:01;admin;screen;0;V] var 02 <- ID: 1Content aa | None;
2025-11-10 09:02:01;admin;screen;0;[FRAME] <SOH>V<STX>03verybigtest<ETX>113<CR>;
2025-11-10 09:02:04;admin;screen;0;V] var 03 <- verybigtest | None;
2025-11-10 09:02:04;admin;screen;0;[FRAME] <SOH>V<STX>04sample<ETX>060<CR>;
2025-11-10 09:02:07;admin;screen;0;V] var 04 <- sample | None;
2025-11-10 09:02:07;admin;screen;0;[FRAME] <SOH>V<STX>052024-08-23 15:31:3<ETX>059<CR>;
2025-11-10 09:02:10;admin;screen;0;V] var 05 <- 2024-08-23 15:31:3 | None;
2025-11-10 09:02:10;admin;screen;0;[FRAME] <SOH>V<STX>062024<ETX>132<CR>;
2025-11-10 09:02:13;admin;screen;0;V] var 06 <- 2024 | None;
2025-11-10 09:02:13;admin;screen;0;[FRAME] <SOH>V<STX>07Print job started<ETX>060<CR>;
2025-11-10 09:02:16;admin;screen;0;V] var 07 <- Print job started | None;
2025-11-10 09:02:16;admin;screen;0;[FRAME] <SOH>V<STX>08<ETX>190<CR>;
2025-11-10 09:02:19;admin;data transferred;14;"5;ID: 1Content aa;verybigtest;sample;2024-08-23 15:31:3;2024;Print job started;";
2025-11-10 09:02:19;admin;screen;0;V] var 08 <-  | None;
2025-11-10 09:02:32;admin;print started;14;"5;ID: 1Content aa;verybigtest;sample;2024-08-23 15:31:3;2024;Print job started;";READY timeout
2025-11-10 09:02:32;admin;screen;0;[TIMEOUT] READY timeout;
2025-11-10 09:02:34;admin;screen;0;[TIMEOUT] Row 14: user chose EXIT;
2025-11-10 09:02:34;admin;screen;0;[DONE] Batch complete;
2025-11-10 09:06:53;admin;login;0;user logged in;
2025-11-10 09:06:53;admin;data stream loaded;0;CSV loaded: C:/Users/Logisztika/Documents/bigtest.log.csv;
2025-11-10 09:06:53;admin;screen;0;"[CSV] Loaded 111 rows (delimiter=';')";
2025-11-10 09:06:53;admin;data stream loaded;0;CSV loaded: C:/Users/Logisztika/Documents/bigtest.log.csv;
2025-11-10 09:06:53;admin;screen;0;[RESUME] Highlight row 14, next to send: row 14;
2025-11-10 09:22:36;admin;login;0;user logged in;
2025-11-10 09:22:36;admin;data stream loaded;0;CSV loaded: C:/Users/Logisztika/Documents/bigtest.log.csv;
2025-11-10 09:22:36;admin;screen;0;"[CSV] Loaded 111 rows (delimiter=';')";
2025-11-10 09:22:36;admin;data stream loaded;0;CSV loaded: C:/Users/Logisztika/Documents/bigtest.log.csv;
2025-11-10 09:22:36;admin;screen;0;[RESUME] Highlight row 14, next to send: row 14;
